"new_id","trip_num","all_orign","s1","s2","s3","s4","s5","s6"
"MAC_1",1,"Sens1","Sens2",NA,NA,NA,NA,NA
"MAC_1",2,"Sens2","Sens1",NA,NA,NA,NA,NA
"MAC_1",3,"Sens1","Sens2",NA,NA,NA,NA,NA
"MAC_1",4,"Sens2","Sens1",NA,NA,NA,NA,NA
"MAC_1",5,"Sens1","Sens2",NA,NA,NA,NA,NA
"MAC_1",6,"Sens4","Sens3",NA,NA,NA,NA,NA
"MAC_1",7,"Sens1","Sens2",NA,NA,NA,NA,NA
"MAC_1",8,"Sens2","Sens7","Sens3",NA,NA,NA,NA
"MAC_1",9,"Sens7","Sens3","Sens2",NA,NA,NA,NA
"MAC_1",10,"Sens2","Sens7",NA,NA,NA,NA,NA
"MAC_1",11,"Sens3","Sens2",NA,NA,NA,NA,NA
"MAC_1",12,"Sens4","Sens1",NA,NA,NA,NA,NA
"MAC_1",13,"Sens4","Sens2","Sens1",NA,NA,NA,NA
"MAC_1",14,"Sens6","Sens1",NA,NA,NA,NA,NA
"MAC_1",15,"Sens3","Sens2","Sens1",NA,NA,NA,NA
"MAC_1",16,"Sens1","Sens2",NA,NA,NA,NA,NA
"MAC_1",17,"Sens2","Sens1",NA,NA,NA,NA,NA
"MAC_1",18,"Sens1","Sens2",NA,NA,NA,NA,NA
"MAC_1",19,"Sens5","Sens8",NA,NA,NA,NA,NA
"MAC_1",20,"Sens4","Sens2",NA,NA,NA,NA,NA
"MAC_1",21,"Sens1","Sens2",NA,NA,NA,NA,NA
"MAC_1",22,"Sens2","Sens1",NA,NA,NA,NA,NA
"MAC_1",23,"Sens1","Sens2",NA,NA,NA,NA,NA
"MAC_1",24,"Sens4","Sens3",NA,NA,NA,NA,NA
"MAC_1",25,"Sens1","Sens2","Sens8",NA,NA,NA,NA
"MAC_1",26,"Sens4","Sens3",NA,NA,NA,NA,NA
"MAC_1",27,"Sens2","Sens1",NA,NA,NA,NA,NA
"MAC_1",28,"Sens1","Sens2",NA,NA,NA,NA,NA
"MAC_1",29,"Sens2","Sens1",NA,NA,NA,NA,NA
"MAC_1",30,"Sens1","Sens2",NA,NA,NA,NA,NA
"MAC_1",31,"Sens4","Sens3",NA,NA,NA,NA,NA
"MAC_1",32,"Sens1","Sens2",NA,NA,NA,NA,NA
"MAC_1",33,"Sens2","Sens6",NA,NA,NA,NA,NA
"MAC_1",34,"Sens6","Sens2",NA,NA,NA,NA,NA
"MAC_1",35,"Sens3","Sens2",NA,NA,NA,NA,NA
"MAC_1",36,"Sens2","Sens3",NA,NA,NA,NA,NA
"MAC_1",37,"Sens3","Sens2",NA,NA,NA,NA,NA
"MAC_1",38,"Sens2","Sens3",NA,NA,NA,NA,NA
"MAC_1",39,"Sens3","Sens2",NA,NA,NA,NA,NA
