"all_orign","s1","s2","s3","s4","s5","s6","new_id","trip_num","clusts"
"Sens1","Sens1",NA,NA,NA,NA,NA,"MAC_14",61,13
"Sens1","Sens1",NA,NA,NA,NA,NA,"MAC_21",94,13
"Sens1","Sens1",NA,NA,NA,NA,NA,"MAC_10",74,13
"Sens1","Sens1",NA,NA,NA,NA,NA,"MAC_10",62,13
"Sens1","Sens1",NA,NA,NA,NA,NA,"MAC_14",59,13
"Sens1","Sens1",NA,NA,NA,NA,NA,"MAC_3",22,13
"Sens1","Sens1",NA,NA,NA,NA,NA,"MAC_10",8,13
"Sens1","Sens1",NA,NA,NA,NA,NA,"MAC_10",23,13
"Sens1","Sens1",NA,NA,NA,NA,NA,"MAC_17",27,13
"Sens1","Sens1",NA,NA,NA,NA,NA,"MAC_12",9,13
"Sens1","Sens1",NA,NA,NA,NA,NA,"MAC_14",38,13
"Sens1","Sens1",NA,NA,NA,NA,NA,"MAC_10",118,13
"Sens1","Sens1",NA,NA,NA,NA,NA,"MAC_24",144,13
"Sens1","Sens1",NA,NA,NA,NA,NA,"MAC_14",21,13
"Sens1","Sens1","Sens3","Sens1",NA,NA,NA,"MAC_10",78,13
"Sens1","Sens1","Sens3","Sens2",NA,NA,NA,"MAC_24",45,15
"Sens1","Sens1","Sens3","Sens4",NA,NA,NA,"MAC_2",24,15
"Sens1","Sens1","Sens3","Sens4",NA,NA,NA,"MAC_2",61,15
"Sens1","Sens1","Sens3","Sens4",NA,NA,NA,"MAC_23",69,15
"Sens1","Sens1","Sens3","Sens4","Sens5",NA,NA,"MAC_23",65,15
"Sens1","Sens1","Sens3","Sens8","Sens2",NA,NA,"MAC_20",113,15
"Sens1","Sens1","Sens4",NA,NA,NA,NA,"MAC_10",4,15
"Sens1","Sens1","Sens4","Sens5",NA,NA,NA,"MAC_10",73,15
"Sens1","Sens1","Sens7",NA,NA,NA,NA,"MAC_10",27,15
"Sens1","Sens1","Sens7",NA,NA,NA,NA,"MAC_4",50,15
"Sens1","Sens1","Sens7","Sens2",NA,NA,NA,"MAC_10",65,15
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",1,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_20",67,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",3,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_12",57,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",5,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",99,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",7,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_3",169,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_15",39,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_11",27,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",51,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",133,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_15",2,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_15",4,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_18",54,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",16,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",30,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",18,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",32,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_19",69,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",21,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_21",146,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",23,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_15",54,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",65,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",106,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_22",2,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",28,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",69,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",83,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",71,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_20",69,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_10",3,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_10",19,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_21",105,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_12",49,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_22",12,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_11",40,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",52,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_7",23,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",81,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_10",66,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_14",26,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_22",19,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_12",2,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",90,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_10",32,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_20",18,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_24",153,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_24",61,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",68,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_12",11,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_1",108,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_10",105,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_21",107,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_11",17,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_20",24,1
"Sens1","Sens2",NA,NA,NA,NA,NA,"MAC_20",20,1
"Sens1","Sens2","Sens1",NA,NA,NA,NA,"MAC_12",37,13
"Sens1","Sens2","Sens3",NA,NA,NA,NA,"MAC_1",88,13
"Sens1","Sens2","Sens3",NA,NA,NA,NA,"MAC_22",6,13
"Sens1","Sens2","Sens3",NA,NA,NA,NA,"MAC_1",62,13
"Sens1","Sens2","Sens3",NA,NA,NA,NA,"MAC_1",116,13
